============ BANCO DE DADOS DE DORAMAS ============ 
Nome	Tipo	Gênero	Nº episódios	Terminado[S/N]	Episódio de parada 
My ID is gangnam beauty	K-drama	Romance	16	S	--
Cheese in the trap	K-drama	Drama/Romance	16	S	--
Meteor garden	C-drama	Romance	50	S	--
A love so beautiful	C-drama	Romance	23	S	--
Put your head on my shoulder	C-drama	Romance	24	N	22
Um termpero de outro mundo	Thai-drama	Mistério/Romance	16	S	--
Goblin	K-drama	Drama	16	N	2
What's wrong with secretary Kim	K-drama	Romance	16	S	--
Mother.Call me mother	K-drama	Drama/Família	16	N	3
Clean with passion for now	K-drama	Romance	22	N	10
